Date,Open,High,Low,Close,Volume,Return,MA7,MA21,MA50,MA200,Volatility30,Momentum7,Cluster_3,Cluster_Label
2015-04-04,254.29100036621097,255.25799560546875,251.1000061035156,253.6970062255859,12493500,-0.0024575144293476,248.965573992048,258.05247715541293,259.5743615722656,310.84317024230955,0.0306021892265424,0.0050097471884966,0,Bear
2015-04-05,253.7610015869141,260.67498779296875,251.94200134277344,260.5979919433594,19649200,0.0272016836952231,251.52057320731024,256.8241431826637,259.63990112304685,309.8594901275635,0.0310041321156062,0.0721049686027422,1,Sideways
2015-04-06,260.72100830078125,261.7980041503906,254.5749969482422,255.49200439453125,20034200,-0.0195933495525088,252.6585736955915,255.15266781761537,260.05324127197264,309.0147501373291,0.0310668626724676,0.0326815992701934,0,Bear
2015-04-07,255.2740020751953,255.80499267578125,252.2050018310547,253.17999267578125,18467400,-0.0090492527319163,253.93800136021204,253.6133815220424,260.4399810791016,308.3066701507568,0.0310807275246186,0.0369723671425676,0,Bear
2015-04-08,253.06399536132812,253.8470001220703,244.21499633789065,245.02200317382812,30086400,-0.0322220939171924,253.6165727887835,253.0763811383929,260.4682211303711,307.4872602081299,0.0295482167521428,-0.0077300897306753,0,Bear
2015-04-09,244.75100708007812,246.1179962158203,239.3999938964844,243.67599487304688,21643500,-0.0054934180740753,252.28385707310267,252.2548566545759,260.61522094726564,306.7115351104736,0.0294529566080931,-0.0364085090802657,0,Bear
2015-04-10,243.69400024414065,243.69400024414065,232.77099609375,236.0720062255859,28882000,-0.0312053251343965,249.67671421595983,251.0321430024646,260.5310009765625,305.88113510131836,0.0295274211702526,-0.0728192701442139,0,Bear
2015-04-11,236.01600646972656,239.53700256347656,234.1750030517578,236.552001953125,16365200,0.0020332598312415,247.22742789132255,249.91438148135225,260.38646087646487,304.8849401855469,0.0295746951656888,-0.0683284958836247,0,Bear
2015-04-12,236.53500366210935,237.72799682617188,233.4949951171875,236.1529998779297,12387900,-0.0016867414855967,243.73528616768976,248.3997628348214,260.2188409423828,303.9496802520752,0.0292413572773817,-0.0972169210644446,0,Bear
2015-04-13,235.9499969482422,236.93499755859375,221.9960021972656,224.5870056152344,31181800,-0.0489766984483529,239.3202863420759,246.3924778529576,259.99104095458983,303.0147452545166,0.0302698826863718,-0.1266002699602888,0,Bear
2015-04-14,224.75900268554688,224.9759979248047,216.322998046875,219.15899658203125,31719000,-0.0241688472506842,234.46014404296875,245.1336204892113,259.5963809204102,302.08841529846194,0.0301016496887976,-0.1417198644790567,0,Bear
2015-04-15,219.072998046875,223.83299255371097,218.6490020751953,223.83299255371097,22562000,0.0213269637321515,231.43314252580916,244.0686674572173,259.2983407592773,301.2099803161621,0.0303017648670032,-0.0881708068297126,0,Bear
