Date;Open;High;Low;Close;Volume;Return;MA7;MA21;MA50;MA200;Volatility30;Momentum7;Cluster_3;Regime;Direction_Pred;Prob_Up;Signal;Pred_1d;Pred_30d;Pred_365d;Pred_7d;Pred_90d;PC1;PC2
2014-10-06;320.39;345.13;302.56;330.08;79011800;0.029856;354.94257;;;;;-0.122587;;;;;;;;;;;;
2014-10-07;330.58;339.25;320.48;336.19;49199900;0.018505;347.691572;387.352142;;;;-0.13465;;;;;;;;;;;;
2014-10-08;336.12;354.36;327.19;352.94;54736300;0.049832;343.309431;382.380999;;;;-0.076214;;;;;;;;;;;;
2014-10-09;352.75;382.73;347.69;365.03;83641104;0.034244;341.874289;379.551761;;;;-0.019701;;;;;;;;;;;;
2014-10-10;364.69;375.07;352.96;361.56;43665700;-0.00949;342.167149;377.96919;;;;0.012295;;;;;;;;;;;;
2014-10-11;361.36;367.19;355.95;362.3;13345200;0.002038;346.943294;375.749906;;;;0.099577;;;;;;;;;;;;
2014-10-12;362.61;379.43;356.14;378.55;17552800;0.044852;355.23458;374.784572;;;;0.169837;;;;;;;;;;;;
2014-10-13;377.92;397.23;368.9;390.41;35221400;0.031343;363.853864;374.225619;;;;0.171325;;;;;;;;;;;;
2014-10-14;391.69;411.7;391.32;400.87;38491500;0.026782;373.094291;372.562715;;;;0.179602;;;;;;;;;;;;
2014-10-15;400.95;402.23;388.77;394.77;25267100;-0.015209;379.070435;371.208811;;;;0.114561;;;;;;;;;;;;
2014-10-16;394.52;398.81;373.07;382.56;26990000;-0.030947;381.57472;369.827002;;;;0.04937;;;;;;;;;;;;
2014-10-17;382.76;385.48;375.39;383.76;13600700;0.003142;384.745575;368.842859;;;0.039148;0.062002;;;;;;;;;;;;
2014-10-18;383.98;395.16;378.97;391.44;11416800;0.020023;388.908857;368.458192;;;0.03729;0.079986;;;;;;;;;;;;
2014-10-19;391.25;393.94;386.46;389.55;5914570;-0.004844;390.479854;369.047001;;;0.035033;0.03029;;;;;;;;;;;;
2014-10-20;389.23;390.08;378.25;382.85;16419000;-0.017202;389.398568;369.398334;;;0.034508;-0.018255;;;;;;;;;;;;
