PC1,PC2,Date,Close,Regime,Cluster_KMeans,Cluster_MiniBatchKMeans,Cluster_GMM,Cluster_VBGMM,Cluster_Spectral
-1.7041328382398944,-0.2738747556650525,2015-04-04,253.6970062255859,Bull,0,1,0,0,0
-1.7716506873755513,0.8350816275154961,2015-04-05,260.5979919433594,Bull,0,1,0,0,0
-1.7103633325978687,-0.4132180802558564,2015-04-06,255.49200439453125,Bull,0,1,0,0,0
-1.7217468758327132,-0.1665453038280559,2015-04-07,253.17999267578125,Bull,0,1,0,0,0
-1.6625682705048255,-0.9756654258809166,2015-04-08,245.02200317382812,Bull,0,1,0,0,0
-1.667077501167912,-0.6486642616757106,2015-04-09,243.67599487304688,Bull,0,1,0,0,0
-1.6251825905528114,-1.4457219621454227,2015-04-10,236.0720062255859,Bull,0,1,0,0,0
-1.6558453179055337,-0.736243667330044,2015-04-11,236.552001953125,Bull,0,1,0,0,0
-1.63292235987186,-1.0298900084572828,2015-04-12,236.1529998779297,Bull,0,1,0,0,0
-1.585916524336887,-2.211867950624054,2015-04-13,224.5870056152344,Bull,0,1,0,0,0
-1.5962010380677363,-1.8217493855488402,2015-04-14,219.15899658203125,Bull,0,1,0,0,0
-1.6671636382760482,-0.49318152289593536,2015-04-15,223.83299255371097,Bull,0,1,0,0,0
-1.68644007351502,-0.2948850483541431,2015-04-16,228.572998046875,Bull,0,1,0,0,0
-1.6021659935103718,-1.1878423654715498,2015-04-17,222.8820037841797,Bull,0,1,0,0,0
-1.62177103017879,-0.6380857603656781,2015-04-18,223.3560028076172,Bull,0,1,0,0,0
-1.6158844238853305,-0.7629457766172154,2015-04-19,222.6000061035156,Bull,0,1,0,0,0
-1.661509454055519,-0.0712173239001408,2015-04-20,224.62600708007812,Bull,0,1,0,0,0
-1.7440594539260732,1.2469571673453779,2015-04-21,235.2689971923828,Bull,0,1,0,0,0
-1.6857545062296473,-0.00632104960940235,2015-04-22,234.17599487304688,Bull,0,1,0,0,0
-1.65363072573616,0.1974639104068453,2015-04-23,236.4620056152344,Bull,0,1,0,0,0
-1.6319710009773671,-0.4250764245674567,2015-04-24,231.26800537109375,Bull,0,1,0,0,0
-1.6205955765122373,-0.5822604550118978,2015-04-25,226.38999938964844,Bull,0,1,0,0,0
-1.6017740045369222,-0.9842669890108707,2015-04-26,219.42999267578125,Bull,0,1,0,0,0
-1.6961794839634048,0.8244280192942534,2015-04-27,229.28599548339844,Bull,0,1,0,0,0
-1.6019358496778864,-0.8633451191551595,2015-04-28,225.85499572753903,Bull,0,1,0,0,0
-1.6134904097422225,-0.530242876746902,2015-04-29,225.80799865722656,Bull,0,1,0,0,0
-1.6868110482261278,0.6770991347725592,2015-04-30,236.14500427246097,Bull,0,1,0,0,0
